Year,RM,Crop,Yield
1947,250,Fall Rye,14.0
1948,250,Fall Rye,9.0
1949,250,Fall Rye,9.0
1950,250,Fall Rye,12.0
1951,250,Fall Rye,17.0
1952,250,Fall Rye,20.0
1953,250,Fall Rye,18.0
1954,250,Fall Rye,14.0
1955,250,Fall Rye,13.0
1956,250,Fall Rye,15.0
1957,250,Fall Rye,28.0
1958,250,Fall Rye,17.0
1965,250,Fall Rye,25.0
1966,250,Fall Rye,21.0
1967,250,Fall Rye,11.0
1968,250,Fall Rye,16.0
1969,250,Fall Rye,12.0
1970,250,Fall Rye,21.0
1971,250,Fall Rye,20.0
1972,250,Fall Rye,15.0
1973,250,Fall Rye,17.0
1974,250,Fall Rye,15.0
1975,250,Fall Rye,19.0
1976,250,Fall Rye,25.0
1977,250,Fall Rye,25.0
1978,250,Fall Rye,22.0
1979,250,Fall Rye,27.0
1980,250,Fall Rye,13.0
1981,250,Fall Rye,24.0
1982,250,Fall Rye,26.0
1983,250,Fall Rye,26.9
1984,250,Fall Rye,18.5
1985,250,Fall Rye,21.7
1986,250,Fall Rye,25.1
1987,250,Fall Rye,16.0
1988,250,Fall Rye,10.0
1989,250,Fall Rye,24.5
1990,250,Fall Rye,20.0
1991,250,Fall Rye,30.0
1992,250,Fall Rye,32.0
1993,250,Fall Rye,35.0
1994,250,Fall Rye,27.0
1995,250,Fall Rye,25.0
1942,251,Fall Rye,10.0
1943,251,Fall Rye,15.0
1944,251,Fall Rye,15.0
1946,251,Fall Rye,8.0
1947,251,Fall Rye,5.0
1948,251,Fall Rye,9.0
1949,251,Fall Rye,5.0
1950,251,Fall Rye,12.0
1951,251,Fall Rye,16.0
1952,251,Fall Rye,19.0
1953,251,Fall Rye,23.0
1954,251,Fall Rye,18.0
1955,251,Fall Rye,30.0
1956,251,Fall Rye,12.0
1957,251,Fall Rye,14.0
1958,251,Fall Rye,9.0
1959,251,Fall Rye,8.0
1960,251,Fall Rye,23.0
1961,251,Fall Rye,6.0
1962,251,Fall Rye,12.0
1963,251,Fall Rye,25.0
1964,251,Fall Rye,9.0
1965,251,Fall Rye,21.0
1966,251,Fall Rye,25.0
1967,251,Fall Rye,16.0
1968,251,Fall Rye,19.0
1969,251,Fall Rye,17.0
1970,251,Fall Rye,23.0
1971,251,Fall Rye,24.0
1972,251,Fall Rye,16.0
1973,251,Fall Rye,15.0
1974,251,Fall Rye,16.0
1975,251,Fall Rye,19.0
1976,251,Fall Rye,25.0
1977,251,Fall Rye,22.0
1978,251,Fall Rye,22.0
1979,251,Fall Rye,15.0
1980,251,Fall Rye,12.0
1981,251,Fall Rye,22.0
1982,251,Fall Rye,28.0
1983,251,Fall Rye,22.8
1984,251,Fall Rye,13.3
1985,251,Fall Rye,10.0
1986,251,Fall Rye,17.7
1987,251,Fall Rye,26.3
1988,251,Fall Rye,6.0
1989,251,Fall Rye,20.0
1990,251,Fall Rye,24.0
1992,251,Fall Rye,23.0
1993,251,Fall Rye,16.0
1994,251,Fall Rye,25.0
1995,251,Fall Rye,15.0
1996,251,Fall Rye,20.0
1997,251,Fall Rye,18.0
1998,251,Fall Rye,19.1
1999,251,Fall Rye,28.6
2000,251,Fall Rye,25.0
2001,251,Fall Rye,11.0
2002,251,Fall Rye,22.5
2003,251,Fall Rye,35.0
2004,251,Fall Rye,36.7
2005,251,Fall Rye,38.8
2006,251,Fall Rye,20.0
2007,251,Fall Rye,15.0
2008,251,Fall Rye,20.0
2009,251,Fall Rye,29.0
2010,251,Fall Rye,20.0
2011,251,Fall Rye,25.0
2012,251,Fall Rye,26.0
2013,251,Fall Rye,40.0
2017,251,Fall Rye,65.0
1942,252,Fall Rye,8.0
1944,252,Fall Rye,19.0
1945,252,Fall Rye,7.0
1946,252,Fall Rye,6.0
1947,252,Fall Rye,10.0
1948,252,Fall Rye,9.0
1949,252,Fall Rye,4.0
1950,252,Fall Rye,6.0
1951,252,Fall Rye,13.0
1952,252,Fall Rye,17.0
1953,252,Fall Rye,20.0
1954,252,Fall Rye,16.0
1955,252,Fall Rye,20.0
1956,252,Fall Rye,20.0
1957,252,Fall Rye,8.0
1958,252,Fall Rye,11.0
1959,252,Fall Rye,13.0
1960,252,Fall Rye,18.0
1962,252,Fall Rye,8.0
1963,252,Fall Rye,24.0
1964,252,Fall Rye,15.0
1965,252,Fall Rye,23.0
1966,252,Fall Rye,22.0
1967,252,Fall Rye,14.0
1968,252,Fall Rye,15.0
1969,252,Fall Rye,18.0
1970,252,Fall Rye,22.0
1971,252,Fall Rye,22.0
1972,252,Fall Rye,12.0
1973,252,Fall Rye,25.0
1974,252,Fall Rye,19.0
1975,252,Fall Rye,20.0
1976,252,Fall Rye,20.0
1977,252,Fall Rye,22.0
1978,252,Fall Rye,24.0
1979,252,Fall Rye,18.0
1980,252,Fall Rye,15.0
1981,252,Fall Rye,18.0
1982,252,Fall Rye,33.0
1983,252,Fall Rye,36.2
1984,252,Fall Rye,16.7
1985,252,Fall Rye,21.3
1986,252,Fall Rye,29.3
1987,252,Fall Rye,30.0
1988,252,Fall Rye,9.0
1989,252,Fall Rye,24.0
1990,252,Fall Rye,30.0
1991,252,Fall Rye,23.6
1992,252,Fall Rye,25.0
1993,252,Fall Rye,30.0
1994,252,Fall Rye,30.0
1995,252,Fall Rye,23.5
1996,252,Fall Rye,17.5
1997,252,Fall Rye,25.0
2003,252,Fall Rye,27.5
2004,252,Fall Rye,22.2
2005,252,Fall Rye,25.0
2006,252,Fall Rye,20.0
2008,252,Fall Rye,28.1
2009,252,Fall Rye,35.0
2013,252,Fall Rye,48.8
2022,252,Fall Rye,40.0
1948,253,Fall Rye,8.0
1955,253,Fall Rye,19.0
1968,253,Fall Rye,15.0
1970,253,Fall Rye,23.0
1971,253,Fall Rye,21.0
1976,253,Fall Rye,20.0
1977,253,Fall Rye,20.0
1978,253,Fall Rye,20.0
1979,253,Fall Rye,18.0
1980,253,Fall Rye,12.0
1981,253,Fall Rye,19.0
1983,253,Fall Rye,36.3
1984,253,Fall Rye,17.3
1985,253,Fall Rye,11.5
1986,253,Fall Rye,28.7
1987,253,Fall Rye,20.0
1988,253,Fall Rye,10.0
1989,253,Fall Rye,20.0
1990,253,Fall Rye,25.0
1992,253,Fall Rye,25.0
1993,253,Fall Rye,24.0
1997,253,Fall Rye,15.0
1998,253,Fall Rye,23.4
1999,253,Fall Rye,21.5
2000,253,Fall Rye,27.5
2011,253,Fall Rye,32.0
2024,253,Fall Rye,58.9
1942,254,Fall Rye,13.0
1943,254,Fall Rye,10.0
1944,254,Fall Rye,20.0
1945,254,Fall Rye,8.0
1946,254,Fall Rye,11.0
1947,254,Fall Rye,8.0
1948,254,Fall Rye,4.0
1949,254,Fall Rye,2.0
1950,254,Fall Rye,3.0
1951,254,Fall Rye,4.0
1952,254,Fall Rye,17.0
1953,254,Fall Rye,15.0
1954,254,Fall Rye,12.0
1955,254,Fall Rye,18.0
1956,254,Fall Rye,6.0
1957,254,Fall Rye,9.0
1959,254,Fall Rye,5.0
1960,254,Fall Rye,18.0
1963,254,Fall Rye,20.0
1964,254,Fall Rye,12.0
1965,254,Fall Rye,16.0
1966,254,Fall Rye,16.0
1967,254,Fall Rye,10.0
1968,254,Fall Rye,11.0
1969,254,Fall Rye,19.0
1970,254,Fall Rye,23.0
1971,254,Fall Rye,19.0
1972,254,Fall Rye,15.0
1973,254,Fall Rye,13.0
1974,254,Fall Rye,12.0
1975,254,Fall Rye,23.0
1976,254,Fall Rye,24.0
1977,254,Fall Rye,17.0
1978,254,Fall Rye,19.0
1979,254,Fall Rye,17.0
1980,254,Fall Rye,7.0
1981,254,Fall Rye,20.0
1982,254,Fall Rye,37.0
1983,254,Fall Rye,34.4
1984,254,Fall Rye,17.5
1985,254,Fall Rye,16.7
1986,254,Fall Rye,23.7
1987,254,Fall Rye,19.0
1988,254,Fall Rye,6.0
1989,254,Fall Rye,22.5
1990,254,Fall Rye,30.0
1992,254,Fall Rye,25.0
1993,254,Fall Rye,25.0
1994,254,Fall Rye,25.0
1995,254,Fall Rye,20.0
1996,254,Fall Rye,25.0
1997,254,Fall Rye,15.0
1998,254,Fall Rye,20.0
1999,254,Fall Rye,25.0
2010,254,Fall Rye,10.4
1942,255,Fall Rye,18.0
1943,255,Fall Rye,10.0
1944,255,Fall Rye,5.0
1945,255,Fall Rye,5.0
1946,255,Fall Rye,5.0
1947,255,Fall Rye,10.0
1948,255,Fall Rye,5.0
1950,255,Fall Rye,6.0
1951,255,Fall Rye,9.0
1952,255,Fall Rye,15.0
1953,255,Fall Rye,18.0
1954,255,Fall Rye,8.0
1955,255,Fall Rye,15.0
1956,255,Fall Rye,10.0
1963,255,Fall Rye,20.0
1965,255,Fall Rye,16.0
1966,255,Fall Rye,23.0
1967,255,Fall Rye,12.0
1968,255,Fall Rye,5.0
1969,255,Fall Rye,5.0
1970,255,Fall Rye,25.0
1971,255,Fall Rye,23.0
1973,255,Fall Rye,9.0
1974,255,Fall Rye,15.0
1975,255,Fall Rye,21.0
1976,255,Fall Rye,29.0
1977,255,Fall Rye,30.0
1978,255,Fall Rye,25.0
1981,255,Fall Rye,11.0
1982,255,Fall Rye,30.0
1983,255,Fall Rye,27.5
1984,255,Fall Rye,20.0
1985,255,Fall Rye,17.0
1986,255,Fall Rye,20.0
1987,255,Fall Rye,20.0
1988,255,Fall Rye,4.0
1989,255,Fall Rye,24.0
1990,255,Fall Rye,25.0
1992,255,Fall Rye,25.0
1993,255,Fall Rye,35.0
1994,255,Fall Rye,30.0
2006,255,Fall Rye,25.5
2011,255,Fall Rye,35.7
1945,256,Fall Rye,14.0
1946,256,Fall Rye,15.0
1947,256,Fall Rye,10.0
1948,256,Fall Rye,3.0
1952,256,Fall Rye,18.0
1953,256,Fall Rye,20.0
1954,256,Fall Rye,17.0
1955,256,Fall Rye,12.0
1956,256,Fall Rye,8.0
1957,256,Fall Rye,6.0
1958,256,Fall Rye,4.0
1959,256,Fall Rye,8.0
1966,256,Fall Rye,25.0
1975,256,Fall Rye,26.0
1976,256,Fall Rye,30.0
1977,256,Fall Rye,28.0
1978,256,Fall Rye,26.0
1979,256,Fall Rye,29.0
1980,256,Fall Rye,13.0
1981,256,Fall Rye,19.0
1982,256,Fall Rye,37.0
1983,256,Fall Rye,35.8
1984,256,Fall Rye,21.4
1985,256,Fall Rye,15.7
1986,256,Fall Rye,22.5
1987,256,Fall Rye,20.0
1988,256,Fall Rye,4.5
1989,256,Fall Rye,10.0
1990,256,Fall Rye,25.0
1992,256,Fall Rye,25.0
2000,256,Fall Rye,30.0
2002,256,Fall Rye,20.0
2016,256,Fall Rye,41.3
1942,257,Fall Rye,25.0
1943,257,Fall Rye,10.0
1944,257,Fall Rye,6.0
1945,257,Fall Rye,8.0
1946,257,Fall Rye,21.0
1947,257,Fall Rye,10.0
1948,257,Fall Rye,7.0
1950,257,Fall Rye,8.0
1951,257,Fall Rye,10.0
1952,257,Fall Rye,15.0
1953,257,Fall Rye,20.0
1954,257,Fall Rye,14.0
1955,257,Fall Rye,18.0
1956,257,Fall Rye,15.0
1957,257,Fall Rye,15.0
1960,257,Fall Rye,8.0
1961,257,Fall Rye,8.0
1963,257,Fall Rye,18.0
1964,257,Fall Rye,7.0
1965,257,Fall Rye,22.0
1966,257,Fall Rye,19.0
1968,257,Fall Rye,15.0
1969,257,Fall Rye,10.0
1970,257,Fall Rye,25.0
1971,257,Fall Rye,23.0
1972,257,Fall Rye,18.0
1973,257,Fall Rye,15.0
1974,257,Fall Rye,20.0
1975,257,Fall Rye,22.0
1976,257,Fall Rye,21.0
1977,257,Fall Rye,27.0
1978,257,Fall Rye,28.0
1979,257,Fall Rye,25.0
1980,257,Fall Rye,11.0
1981,257,Fall Rye,19.0
1982,257,Fall Rye,35.0
1983,257,Fall Rye,33.2
1984,257,Fall Rye,18.9
1985,257,Fall Rye,10.2
1986,257,Fall Rye,19.2
1987,257,Fall Rye,18.8
1988,257,Fall Rye,10.0
1989,257,Fall Rye,14.7
1990,257,Fall Rye,30.0
1991,257,Fall Rye,32.5
1992,257,Fall Rye,20.0
1993,257,Fall Rye,30.0
1994,257,Fall Rye,25.4
1995,257,Fall Rye,34.5
1996,257,Fall Rye,19.5
1998,257,Fall Rye,13.5
2001,257,Fall Rye,8.0
2002,257,Fall Rye,5.0
2003,257,Fall Rye,14.5
2004,257,Fall Rye,15.0
2005,257,Fall Rye,34.0
2016,257,Fall Rye,53.9
1942,259,Fall Rye,18.0
1944,259,Fall Rye,8.0
1945,259,Fall Rye,10.0
1946,259,Fall Rye,13.0
1947,259,Fall Rye,10.0
1948,259,Fall Rye,8.0
1950,259,Fall Rye,6.0
1951,259,Fall Rye,12.0
1952,259,Fall Rye,20.0
1953,259,Fall Rye,24.0
1954,259,Fall Rye,17.0
1955,259,Fall Rye,17.0
1956,259,Fall Rye,16.0
1957,259,Fall Rye,15.0
1958,259,Fall Rye,12.0
1959,259,Fall Rye,9.0
1960,259,Fall Rye,15.0
1961,259,Fall Rye,9.0
1962,259,Fall Rye,13.0
1963,259,Fall Rye,14.0
1964,259,Fall Rye,7.0
1965,259,Fall Rye,18.0
1966,259,Fall Rye,21.0
1967,259,Fall Rye,18.0
1968,259,Fall Rye,13.0
1969,259,Fall Rye,8.0
1970,259,Fall Rye,28.0
1971,259,Fall Rye,20.0
1972,259,Fall Rye,19.0
1973,259,Fall Rye,21.0
1974,259,Fall Rye,30.0
1975,259,Fall Rye,29.0
1976,259,Fall Rye,20.0
1977,259,Fall Rye,17.0
1978,259,Fall Rye,20.0
1979,259,Fall Rye,25.0
1980,259,Fall Rye,23.0
1981,259,Fall Rye,29.0
1982,259,Fall Rye,32.0
1984,259,Fall Rye,20.0
1985,259,Fall Rye,10.0
1986,259,Fall Rye,20.0
1987,259,Fall Rye,14.5
1988,259,Fall Rye,2.0
1989,259,Fall Rye,19.5
1990,259,Fall Rye,10.0
1991,259,Fall Rye,30.0
1992,259,Fall Rye,25.0
1994,259,Fall Rye,35.0
1995,259,Fall Rye,42.0
1942,260,Fall Rye,20.0
1943,260,Fall Rye,4.0
1944,260,Fall Rye,5.0
1945,260,Fall Rye,5.0
1946,260,Fall Rye,12.0
1947,260,Fall Rye,9.0
1948,260,Fall Rye,10.0
1950,260,Fall Rye,12.0
1951,260,Fall Rye,8.0
1952,260,Fall Rye,19.0
1953,260,Fall Rye,8.0
1954,260,Fall Rye,21.0
1955,260,Fall Rye,20.0
1956,260,Fall Rye,12.0
1957,260,Fall Rye,10.0
1958,260,Fall Rye,14.0
1961,260,Fall Rye,15.0
1962,260,Fall Rye,25.0
1963,260,Fall Rye,20.0
1965,260,Fall Rye,20.0
1966,260,Fall Rye,43.0
1967,260,Fall Rye,5.0
1969,260,Fall Rye,14.0
1970,260,Fall Rye,27.0
1971,260,Fall Rye,24.0
1972,260,Fall Rye,19.0
1973,260,Fall Rye,24.0
1974,260,Fall Rye,26.0
1975,260,Fall Rye,25.0
1976,260,Fall Rye,20.0
1977,260,Fall Rye,18.0
1978,260,Fall Rye,28.0
1979,260,Fall Rye,30.0
1980,260,Fall Rye,10.0
1982,260,Fall Rye,30.0
1983,260,Fall Rye,27.0
1984,260,Fall Rye,22.0
1985,260,Fall Rye,12.0
1986,260,Fall Rye,20.0
1987,260,Fall Rye,25.0
1988,260,Fall Rye,7.0
1989,260,Fall Rye,20.8
1990,260,Fall Rye,8.0
1991,260,Fall Rye,30.0
1992,260,Fall Rye,25.0
1995,260,Fall Rye,20.0
1999,260,Fall Rye,50.0
2016,260,Fall Rye,26.9
1946,261,Fall Rye,13.0
1947,261,Fall Rye,11.0
1948,261,Fall Rye,11.0
1950,261,Fall Rye,6.0
1951,261,Fall Rye,12.0
1952,261,Fall Rye,20.0
1953,261,Fall Rye,21.0
1954,261,Fall Rye,21.0
1955,261,Fall Rye,18.0
1956,261,Fall Rye,16.0
1957,261,Fall Rye,15.0
1958,261,Fall Rye,13.0
1959,261,Fall Rye,18.0
1960,261,Fall Rye,7.0
1961,261,Fall Rye,5.0
1962,261,Fall Rye,11.0
1963,261,Fall Rye,16.0
1964,261,Fall Rye,11.0
1965,261,Fall Rye,18.0
1966,261,Fall Rye,22.0
1967,261,Fall Rye,13.0
1968,261,Fall Rye,10.0
1969,261,Fall Rye,12.0
1970,261,Fall Rye,23.0
1971,261,Fall Rye,18.0
1972,261,Fall Rye,12.0
1973,261,Fall Rye,15.0
1974,261,Fall Rye,19.0
1975,261,Fall Rye,25.0
1976,261,Fall Rye,18.0
1977,261,Fall Rye,14.0
1978,261,Fall Rye,15.0
1979,261,Fall Rye,7.0
1980,261,Fall Rye,12.0
1981,261,Fall Rye,25.0
1982,261,Fall Rye,25.0
1983,261,Fall Rye,23.0
1984,261,Fall Rye,24.6
1985,261,Fall Rye,17.5
1986,261,Fall Rye,15.0
1987,261,Fall Rye,18.0
1988,261,Fall Rye,2.3
1989,261,Fall Rye,19.4
1990,261,Fall Rye,6.0
1991,261,Fall Rye,30.0
1992,261,Fall Rye,30.0
1993,261,Fall Rye,30.0
1994,261,Fall Rye,30.0
1995,261,Fall Rye,25.5
1996,261,Fall Rye,29.5
1998,261,Fall Rye,20.0
2000,261,Fall Rye,32.5
2005,261,Fall Rye,31.9
2015,261,Fall Rye,27.92
2016,261,Fall Rye,26.9
1942,271,Fall Rye,23.0
1943,271,Fall Rye,24.0
1944,271,Fall Rye,12.0
1945,271,Fall Rye,14.0
1946,271,Fall Rye,16.0
1947,271,Fall Rye,15.0
1948,271,Fall Rye,18.0
1949,271,Fall Rye,16.0
1950,271,Fall Rye,18.0
1951,271,Fall Rye,20.0
1952,271,Fall Rye,19.0
1953,271,Fall Rye,23.0
1954,271,Fall Rye,15.0
1955,271,Fall Rye,21.0
1956,271,Fall Rye,21.0
1957,271,Fall Rye,18.0
1958,271,Fall Rye,16.0
1959,271,Fall Rye,23.0
1960,271,Fall Rye,15.0
1961,271,Fall Rye,7.0
1962,271,Fall Rye,17.0
1963,271,Fall Rye,21.0
1964,271,Fall Rye,22.0
1965,271,Fall Rye,19.0
1966,271,Fall Rye,21.0
1967,271,Fall Rye,15.0
1968,271,Fall Rye,17.0
1969,271,Fall Rye,21.0
1970,271,Fall Rye,21.0
1971,271,Fall Rye,22.0
1972,271,Fall Rye,19.0
1973,271,Fall Rye,22.0
1974,271,Fall Rye,16.0
1975,271,Fall Rye,25.0
1976,271,Fall Rye,25.0
1977,271,Fall Rye,25.0
1978,271,Fall Rye,24.0
1979,271,Fall Rye,17.0
1980,271,Fall Rye,18.0
1981,271,Fall Rye,35.0
1982,271,Fall Rye,27.0
1983,271,Fall Rye,32.0
1984,271,Fall Rye,30.0
1985,271,Fall Rye,30.0
1986,271,Fall Rye,27.5
1987,271,Fall Rye,28.0
1988,271,Fall Rye,24.0
1989,271,Fall Rye,26.0
1990,271,Fall Rye,25.0
1992,271,Fall Rye,25.0
2002,271,Fall Rye,40.0
1942,273,Fall Rye,18.0
1943,273,Fall Rye,21.0
1944,273,Fall Rye,19.0
1945,273,Fall Rye,15.0
1946,273,Fall Rye,19.0
1947,273,Fall Rye,18.0
1948,273,Fall Rye,20.0
1949,273,Fall Rye,13.0
1950,273,Fall Rye,16.0
1951,273,Fall Rye,20.0
1952,273,Fall Rye,19.0
1953,273,Fall Rye,20.0
1954,273,Fall Rye,17.0
1955,273,Fall Rye,17.0
1956,273,Fall Rye,16.0
1957,273,Fall Rye,14.0
1958,273,Fall Rye,15.0
1959,273,Fall Rye,17.0
1960,273,Fall Rye,17.0
1961,273,Fall Rye,8.0
1962,273,Fall Rye,15.0
1963,273,Fall Rye,25.0
1964,273,Fall Rye,23.0
1965,273,Fall Rye,25.0
1966,273,Fall Rye,24.0
1967,273,Fall Rye,20.0
1968,273,Fall Rye,21.0
1969,273,Fall Rye,23.0
1970,273,Fall Rye,23.0
1971,273,Fall Rye,20.0
1972,273,Fall Rye,21.0
1974,273,Fall Rye,17.0
1975,273,Fall Rye,18.0
1976,273,Fall Rye,25.0
1977,273,Fall Rye,25.0
1978,273,Fall Rye,24.0
1979,273,Fall Rye,20.0
1980,273,Fall Rye,22.0
1981,273,Fall Rye,35.0
1982,273,Fall Rye,24.0
1983,273,Fall Rye,22.8
1984,273,Fall Rye,26.9
1985,273,Fall Rye,26.2
1986,273,Fall Rye,29.3
1987,273,Fall Rye,23.3
1988,273,Fall Rye,23.0
1989,273,Fall Rye,29.5
1990,273,Fall Rye,35.0
1991,273,Fall Rye,24.0
1992,273,Fall Rye,25.0
2007,273,Fall Rye,32.4
2011,273,Fall Rye,44.9
2013,273,Fall Rye,22.6
2014,273,Fall Rye,40.0
2017,273,Fall Rye,40.0
2021,273,Fall Rye,57.3
1942,274,Fall Rye,17.0
1943,274,Fall Rye,18.0
1944,274,Fall Rye,15.0
1945,274,Fall Rye,17.0
1946,274,Fall Rye,19.0
1947,274,Fall Rye,13.0
1948,274,Fall Rye,18.0
1949,274,Fall Rye,18.0
1951,274,Fall Rye,20.0
1952,274,Fall Rye,14.0
1953,274,Fall Rye,21.0
1954,274,Fall Rye,15.0
1955,274,Fall Rye,15.0
1956,274,Fall Rye,18.0
1957,274,Fall Rye,15.0
1958,274,Fall Rye,13.0
1959,274,Fall Rye,13.0
1960,274,Fall Rye,15.0
1961,274,Fall Rye,8.0
1962,274,Fall Rye,22.0
1963,274,Fall Rye,15.0
1964,274,Fall Rye,20.0
1965,274,Fall Rye,15.0
1967,274,Fall Rye,14.0
1968,274,Fall Rye,30.0
1969,274,Fall Rye,21.0
1970,274,Fall Rye,20.0
1971,274,Fall Rye,20.0
1972,274,Fall Rye,22.0
1974,274,Fall Rye,20.0
1975,274,Fall Rye,20.0
1976,274,Fall Rye,22.0
1977,274,Fall Rye,21.0
1978,274,Fall Rye,25.0
1979,274,Fall Rye,12.0
1980,274,Fall Rye,17.0
1981,274,Fall Rye,31.0
1982,274,Fall Rye,27.0
1983,274,Fall Rye,22.2
1984,274,Fall Rye,30.0
1985,274,Fall Rye,32.5
1986,274,Fall Rye,26.7
1987,274,Fall Rye,22.0
1988,274,Fall Rye,15.0
1989,274,Fall Rye,30.0
1990,274,Fall Rye,25.0
1992,274,Fall Rye,25.0
1993,274,Fall Rye,12.0
1994,274,Fall Rye,26.3
1996,274,Fall Rye,22.5
1997,274,Fall Rye,25.0
1998,274,Fall Rye,15.0
1999,274,Fall Rye,25.0
2010,274,Fall Rye,33.2
2013,274,Fall Rye,37.4
2014,274,Fall Rye,19.33
2016,274,Fall Rye,43.0
1942,275,Fall Rye,18.0
1943,275,Fall Rye,15.0
1944,275,Fall Rye,20.0
1945,275,Fall Rye,12.0
1946,275,Fall Rye,15.0
1947,275,Fall Rye,16.0
1948,275,Fall Rye,14.0
1949,275,Fall Rye,17.0
1950,275,Fall Rye,16.0
1951,275,Fall Rye,14.0
1952,275,Fall Rye,19.0
1953,275,Fall Rye,20.0
1954,275,Fall Rye,16.0
1955,275,Fall Rye,13.0
1956,275,Fall Rye,13.0
1957,275,Fall Rye,14.0
1958,275,Fall Rye,13.0
1959,275,Fall Rye,15.0
1960,275,Fall Rye,14.0
1961,275,Fall Rye,6.0
1962,275,Fall Rye,14.0
1963,275,Fall Rye,19.0
1964,275,Fall Rye,15.0
1965,275,Fall Rye,17.0
1966,275,Fall Rye,20.0
1967,275,Fall Rye,10.0
1968,275,Fall Rye,19.0
1969,275,Fall Rye,19.0
1970,275,Fall Rye,22.0
1971,275,Fall Rye,18.0
1972,275,Fall Rye,15.0
1973,275,Fall Rye,11.0
1974,275,Fall Rye,10.0
1975,275,Fall Rye,15.0
1976,275,Fall Rye,24.0
1977,275,Fall Rye,21.0
1978,275,Fall Rye,24.0
1979,275,Fall Rye,17.0
1980,275,Fall Rye,21.0
1981,275,Fall Rye,35.0
1982,275,Fall Rye,25.0
1983,275,Fall Rye,23.2
1984,275,Fall Rye,21.0
1985,275,Fall Rye,23.5
1986,275,Fall Rye,21.6
1987,275,Fall Rye,24.3
1988,275,Fall Rye,17.0
1989,275,Fall Rye,25.0
1990,275,Fall Rye,20.0
1992,275,Fall Rye,25.0
1995,275,Fall Rye,20.0
1998,275,Fall Rye,40.0
2007,275,Fall Rye,37.0
2009,275,Fall Rye,22.5
2010,275,Fall Rye,19.0
2014,275,Fall Rye,13.5
2025,275,Fall Rye,78.8
1942,276,Fall Rye,19.0
1943,276,Fall Rye,17.0
1945,276,Fall Rye,19.0
1947,276,Fall Rye,16.0
1948,276,Fall Rye,18.0
1949,276,Fall Rye,10.0
1951,276,Fall Rye,20.0
1960,276,Fall Rye,30.0
1969,276,Fall Rye,21.0
1970,276,Fall Rye,23.0
1971,276,Fall Rye,23.0
1972,276,Fall Rye,15.0
1973,276,Fall Rye,15.0
1974,276,Fall Rye,18.0
1975,276,Fall Rye,22.0
1976,276,Fall Rye,30.0
1977,276,Fall Rye,25.0
1978,276,Fall Rye,25.0
1980,276,Fall Rye,10.0
1981,276,Fall Rye,35.0
1982,276,Fall Rye,47.0
1983,276,Fall Rye,24.6
1984,276,Fall Rye,29.6
1985,276,Fall Rye,23.3
1986,276,Fall Rye,27.0
1987,276,Fall Rye,25.0
1988,276,Fall Rye,14.0
1989,276,Fall Rye,25.0
1990,276,Fall Rye,20.0
1991,276,Fall Rye,28.0
1992,276,Fall Rye,24.0
1993,276,Fall Rye,28.0
1994,276,Fall Rye,27.0
1995,276,Fall Rye,28.0
1996,276,Fall Rye,24.0
2002,276,Fall Rye,22.0
2003,276,Fall Rye,25.0
2006,276,Fall Rye,50.0
2007,276,Fall Rye,45.0
2023,276,Fall Rye,79.6
2024,276,Fall Rye,60.0
1947,277,Fall Rye,23.0
1948,277,Fall Rye,20.0
1953,277,Fall Rye,20.0
1955,277,Fall Rye,20.0
1972,277,Fall Rye,15.0
1977,277,Fall Rye,25.0
1978,277,Fall Rye,24.0
1979,277,Fall Rye,25.0
1980,277,Fall Rye,17.0
1981,277,Fall Rye,35.0
1982,277,Fall Rye,30.0
1983,277,Fall Rye,30.0
1984,277,Fall Rye,29.0
1985,277,Fall Rye,25.0
1986,277,Fall Rye,40.0
1987,277,Fall Rye,20.0
1988,277,Fall Rye,25.0
1989,277,Fall Rye,20.0
1990,277,Fall Rye,25.0
1992,277,Fall Rye,25.5
2009,277,Fall Rye,40.0
2010,277,Fall Rye,37.6
1942,278,Fall Rye,20.0
1943,278,Fall Rye,14.0
1944,278,Fall Rye,14.0
1945,278,Fall Rye,16.0
1946,278,Fall Rye,12.0
1947,278,Fall Rye,14.0
1948,278,Fall Rye,11.0
1949,278,Fall Rye,22.0
1950,278,Fall Rye,15.0
1951,278,Fall Rye,17.0
1952,278,Fall Rye,20.0
1953,278,Fall Rye,19.0
1954,278,Fall Rye,15.0
1955,278,Fall Rye,18.0
1956,278,Fall Rye,15.0
1957,278,Fall Rye,20.0
1958,278,Fall Rye,10.0
1959,278,Fall Rye,18.0
1960,278,Fall Rye,20.0
1962,278,Fall Rye,21.0
1963,278,Fall Rye,22.0
1964,278,Fall Rye,19.0
1965,278,Fall Rye,28.0
1966,278,Fall Rye,26.0
1967,278,Fall Rye,9.0
1968,278,Fall Rye,20.0
1969,278,Fall Rye,20.0
1970,278,Fall Rye,23.0
1971,278,Fall Rye,21.0
1972,278,Fall Rye,18.0
1973,278,Fall Rye,18.0
1974,278,Fall Rye,15.0
1975,278,Fall Rye,22.0
1976,278,Fall Rye,25.0
1977,278,Fall Rye,25.0
1978,278,Fall Rye,27.0
1979,278,Fall Rye,18.0
1980,278,Fall Rye,10.0
1981,278,Fall Rye,30.0
1982,278,Fall Rye,30.0
1983,278,Fall Rye,31.7
1984,278,Fall Rye,30.0
1985,278,Fall Rye,37.5
1986,278,Fall Rye,25.0
1987,278,Fall Rye,15.0
1988,278,Fall Rye,15.0
